Colorectal cancer,
HMDB0003331,
"Diabetes and Deafness, Maternally Inherited",
HMDB0000122,"Adenosine triphosphate + D-Glucose ¡ú ADP + Glucose 6-phosphate,Adenosine triphosphate + D-Glucose ¡ú ADP + beta-D-Glucose 6-phosphate"
HMDB0003345,"Adenosine triphosphate + alpha-D-Glucose ¡ú ADP + Glucose 6-phosphate,"
HMDB0000190,"L-Lactic acid + NAD ¡ú Pyruvic acid + NADH,L-Lactic acid + NAD ¡ú Pyruvic acid + NADH + Hydrogen Ion"
HMDB0000883,"L-Valine + Oxoglutaric acid ¡ú alpha-Ketoisovaleric acid + L-Glutamic acid,
Adenosine triphosphate + L-Valine + tRNA(Val) ¡ú Adenosine monophosphate + Pyrophosphate + L-valyl-tRNA(Val)"
HMDB0000754,"3-Hydroxyisovaleric acid ¡ú 6-[(1-carboxy-2-methylpropan-2-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid,3-Hydroxyisovaleric acid ¡ú 3,4,5-trihydroxy-6-[(3-hydroxy-3-methylbutanoyl)oxy]oxane-2-carboxylic acid"
HMDB0000112,"gamma-Aminobutyric acid + Oxoglutaric acid ¡ú Succinic acid semialdehyde + L-Glutamic acid,4-Aminobutyraldehyde + NADP + Water ¡ú gamma-Aminobutyric acid + NADPH + Hydrogen Ion"
HMDB0000243,
HMDB0000094,"ADP + Phosphate + Acetyl-CoA + Oxalacetic acid ¡ú Adenosine triphosphate + Citric acid + Coenzyme A,Adenosine triphosphate + Citric acid + Coenzyme A ¡ú ADP + Phosphate + Acetyl-CoA + Oxalacetic acid"
HMDB0000087,Citalopram + Oxygen + Water ¡ú Citalopram aldehyde + Dimethylamine + Hydrogen peroxide
HMDB0000714,Benzoyl-CoA + Glycine ¡ú Coenzyme A + Hippuric acid
HMDB0000142,"Obtusifoliol + Oxygen + NADPH ¡ú delta8,14-Sterol + Formic acid + NADP + Water,Lanosterol + Oxygen + NADPH + Hydrogen Ion ¡ú 4,4-Dimethylcholesta-8,14,24-trienol + Formic acid + NADP + Water"
HMDB0000561,beta-Carotene + Oxygen ¡ú Retinal
HMDB0002789,
HMDB0003000,
HMDB0003233,
HMDB0003993,
HMDB0033844,
HMDB0000001,
HMDB0000289,Xanthine + Water + Oxygen ¡ú Uric acid + Hydrogen peroxide
HMDB0000479,"Adenosine triphosphate + 3-Methylhistidine + beta-Alanine ¡ú Adenosine monophosphate + Pyrophosphate + Anserine,
L-Histidine + S-Adenosylmethionine ¡ú 3-Methylhistidine + S-Adenosylhomocysteine"
HMDB0002712,"1,5-Anhydrosorbitol + NADP ¡ú D-1,5-Anhydrofructose + NADPH"
HMDB0000011,3-Hydroxybutyric acid ¡ú 3-(sulfooxy)butanoic acid
HMDB0000060,3-Hydroxy-3-methylglutaryl-CoA ¡ú Acetyl-CoA + Acetoacetic acid
HMDB0004814,
HMDB0000060,3-Hydroxy-3-methylglutaryl-CoA ¡ú Acetyl-CoA + Acetoacetic acid
HMDB0001659,
HMDB0001185,S-Adenosylmethionine + phosphatidyl-N-methylethanolamine ¡ú S-Adenosylhomocysteine + phosphatidyl-N-dimethylethanolamine
HMDB0000062,Acetyl-CoA + L-Carnitine ¡ú Coenzyme A + L-Acetylcarnitine
HMDB0000087,Citalopram + Oxygen + Water ¡ú Citalopram aldehyde + Dimethylamine + Hydrogen peroxide
HMDB0002712,"1,5-Anhydrosorbitol + NADP ¡ú D-1,5-Anhydrofructose + NADPH"
HMDB0000131,Glycerol + NAD(P)(+) ¡ú Glyceraldehyde + NAD(P)H
HMDB0000599,
HMDB0002032,
HMDB0002030,
HMDB0001311,S-Lactoylglutathione + Water ¡ú Glutathione + D-Lactic acid
HMDB0000153,Estriol + NAD ¡ú 16b-Hydroxyestrone + NADH + Hydrogen Ion
HMDB0006088,
HMDB0000623,
HMDB0002061,
HMDB0004327,
HMDB0000023,(S)-3-Hydroxyisobutyric acid ¡ú 2-methyl-3-(sulfooxy)propanoic acid
HMDB0000336,
HMDB0001167,Lactaldehyde + NAD ¡ú Pyruvaldehyde + NADH + Hydrogen Ion
HMDB0000660,Adenosine triphosphate + D-Fructose ¡ú ADP + Beta-D-Fructose 6-phosphate
HMDB0005794,"Quercetin ¡ú 3,4,5-trihydroxy-6-[2-hydroxy-5-(3,5,7-trihydroxy-4-oxo-4H-chromen-2-yl)phenoxy]oxane-2-carboxylic acid"
HMDB0002030,
HMDB0003152,
HMDB0060524,
HMDB0002658,
HMDB0010325,
HMDB0029164,
HMDB0029176,
HMDB0029177,
HMDB0029182,
HMDB0029184,
HMDB0029190,
HMDB0029226,"5'-(3'-Methoxy-4'-hydroxyphenyl)-gamma-valerolactone ¡ú 3,4,5-trihydroxy-6-{2-methoxy-4-[(5-oxooxolan-2-yl)methyl]phenoxy}oxane-2-carboxylic acid"
HMDB0029234,
HMDB0041693,
HMDB0041729,
HMDB0059710,
HMDB0059971,
HMDB0059973,
HMDB0059981,
HMDB0059989,
HMDB0060024,
